"MLE","MEAN","BBRC"
11,12,63
17,17,72
11,11,74
13,20,70
8,8,69
23,24,85
25,28,95
15,15,47
14,15,67
11,15,99
15,22,86
33,33,111
9,9,57
15,19,84
17,20,64
11,11,76
12,13,78
32,37,89
17,24,90
19,19,82
18,20,112
15,15,59
16,16,66
16,23,87
8,8,67
22,28,81
26,27,98
16,16,43
31,28,69
17,19,112
20,20,115
32,37,88
11,11,79
24,28,80
9,10,95
23,21,89
14,14,79
12,16,77
7,9,74
9,9,51
10,11,72
14,19,80
12,15,150
8,11,64
14,15,71
7,11,64
20,21,73
12,14,68
10,10,67
9,9,94
12,13,106
9,8,98
15,21,95
13,15,68
13,17,80
8,12,82
25,32,101
12,13,83
34,35,98
8,8,79
18,21,77
9,14,74
14,13,58
11,16,82
9,10,81
9,14,58
23,27,85
13,22,82
13,19,102
14,17,77
15,16,90
10,13,102
21,23,75
10,11,95
8,9,51
11,14,58
11,21,64
26,34,123
9,9,70
11,13,63
8,11,79
13,13,109
24,24,69
18,21,74
11,12,64
12,13,86
9,11,62
16,19,93
15,21,106
12,16,69
14,14,76
12,12,71
11,15,74
12,13,75
20,22,83
15,19,79
11,14,74
9,9,79
9,11,96
11,12,75
